X-axis,Y-axis,Z-axis,Blood Value pulse,Electrodermal activity,Heart rate,Time interval, IBI,Temperature
-55,1,-39,-1.15,0.347157,82.02,1945.78125,0.703125,32.81
-45,2,-39,2.83,0.345876,82.22,1946.484375,0.703125,32.81
-49,4,-38,6.74,0.347157,82.38,1947.171875,0.6875,32.81
-54,4,-36,9.48,0.348438,82.6,1947.875,0.703125,32.81
-62,4,-32,10.64,0.348438,82.8,1948.578125,0.703125,32.79
-55,8,-27,10.55,0.348438,83.05,1949.28125,0.703125,32.79
-57,5,-23,10.11,0.349719,83.3,1949.9375,0.65625,32.79
-53,3,-22,10.35,0.348438,83.53,1950.640625,0.703125,32.79
-53,4,-27,11.91,0.345876,83.77,1951.296875,0.65625,32.79
-52,4,-31,14.84,0.345876,83.98,1951.9375,0.640625,32.79
-48,13,-36,18.49,0.348438,84.2,1952.59375,0.65625,32.79
-49,5,-45,21.92,0.349719,84.35,1953.25,0.65625,32.79
-52,2,-53,24.18,0.347157,84.45,1953.90625,0.65625,32.81
-43,6,-52,24.85,0.349719,84.58,1954.515625,0.609375,32.81
-40,11,-48,24.12,0.348438,84.92,1955.171875,0.65625,32.81
-45,4,-48,22.61,0.348438,85.17,1955.828125,0.65625,32.81
-43,6,-46,21.08,0.344595,85.48,1956.4375,0.609375,32.81
-41,9,-47,20,0.344595,85.47,1957.078125,0.640625,32.81
-32,7,-48,19.33,0.344595,85.45,1957.6875,0.609375,32.81
-39,9,-58,18.39,0.347157,85.33,1958.3125,0.625,32.81
-39,10,-59,16.22,0.347157,85.05,1958.90625,0.59375,32.81
-34,10,-56,11.73,0.347157,84.77,1959.515625,0.609375,32.81
-35,7,-58,4.52,0.348438,84.48,1960.09375,0.578125,32.81
-36,9,-61,-5.12,0.344595,84.2,1960.671875,0.578125,32.81
-30,10,-58,-16.28,0.347157,83.95,1961.234375,0.5625,32.81
-31,10,-57,-27.71,0.342033,83.68,1961.84375,0.609375,32.81
-34,9,-55,-38.46,0.344595,83.38,1962.453125,0.609375,32.81
-36,9,-54,-47.91,0.344595,82.97,1963.015625,0.5625,32.81
-36,10,-50,-56.06,0.343314,82.55,1963.609375,0.59375,32.81
-37,9,-51,-62.67,0.340752,82.13,1964.25,0.640625,32.81
-36,10,-51,-68.44,0.342033,81.78,1964.890625,0.640625,32.81
-33,9,-50,-73.78,0.335628,81.37,1965.578125,0.6875,32.81
-32,8,-49,-79.27,0.333066,80.93,1966.265625,0.6875,32.83
-36,6,-52,-85.78,0.331785,80.52,1966.953125,0.6875,32.83
-38,6,-50,-93.94,0.329223,80.17,1967.65625,0.703125,32.83
-39,6,-48,-103.25,0.327942,79.83,1968.296875,0.640625,32.83
-37,7,-50,-111.19,0.324099,79.4,1968.984375,0.6875,32.83
-38,8,-52,-113.68,0.324099,79.03,1972.828125,0.640625,32.83
-34,8,-53,-106.1,0.333066,78.67,1973.34375,0.515625,32.83
-36,8,-53,-86.18,0.330504,78.37,1974.0625,0.71875,32.83
-38,7,-57,-55.6,0.335628,78.1,1974.71875,0.65625,32.83
-37,7,-55,-20.03,0.336909,77.85,1975.34375,0.625,32.83
-36,8,-55,13.11,0.334347,77.57,1976,0.65625,32.83
-38,8,-52,37.84,0.33819,77.67,1976.65625,0.65625,32.83
-38,7,-51,51.92,0.33819,77.87,1977.328125,0.671875,32.81
-37,8,-52,56.65,0.334347,78.07,1982.953125,0.578125,32.81
-35,8,-52,55.13,0.335628,78.23,2006.359375,0.609375,32.81
-38,7,-54,49.92,0.334347,78.38,2006.953125,0.59375,32.81
-33,5,-52,41.93,0.334347,78.53,2007.546875,0.59375,32.81
-37,4,-54,31.51,0.334347,78.73,2008.125,0.578125,32.81
-30,5,-54,19.93,0.334347,78.88,2008.71875,0.59375,32.81
-34,-2,-55,10.03,0.33819,79.03,2009.34375,0.625,32.81
-34,8,-54,4.99,0.33819,79.13,2009.96875,0.625,32.79
-29,8,-54,6.22,0.339471,79.2,2010.578125,0.609375,32.79
-32,10,-55,12.03,0.339471,79.25,2011.1875,0.609375,32.79
-38,10,-55,18.29,0.340752,79.32,2040.296875,0.6875,32.79
-39,9,-54,20.83,0.33819,79.45,2044.6875,0.609375,32.81
-42,7,-54,18.02,0.33819,79.62,2045.328125,0.640625,32.81
-37,7,-52,11.56,0.356124,79.83,2045.96875,0.640625,32.81
-47,4,-61,5.6,0.356124,80,2046.59375,0.625,32.81
-33,3,-58,4.27,0.357405,80.17,2047.25,0.65625,32.83
-37,6,-51,9.69,0.354843,80.37,2047.921875,0.671875,32.83
-39,6,-49,21.42,0.362529,80.62,2048.59375,0.671875,32.83
-41,5,-50,36.87,0.357405,80.82,2049.25,0.65625,32.83
-35,6,-51,52.49,0.361248,81.12,2049.90625,0.65625,32.81
-39,6,-52,64.4,0.357405,81.42,2050.609375,0.703125,32.81
-38,8,-51,69.04,0.358686,81.48,2058.09375,0.640625,32.81
-42,12,-48,63.92,0.353562,81.55,2079.375,0.609375,32.81
-29,10,-50,48.51,0.354843,81.6,2080.015625,0.640625,32.83
-41,8,-56,24.99,0.349719,81.57,2080.671875,0.65625,32.83
-34,11,-55,-2.53,0.353562,81.55,2081.3125,0.640625,32.83
-35,9,-47,-28.99,0.352281,81.53,2081.875,0.5625,32.83
-37,9,-46,-50.17,0.354843,81.58,2082.46875,0.59375,32.81
-42,7,-51,-63.63,0.343314,81.57,2083.125,0.65625,32.81
-35,8,-53,-68.78,0.345876,81.53,2087.125,0.59375,32.81
-40,8,-54,-66.11,0.343314,81.52,2093.59375,0.703125,32.81
-34,14,-50,-56.5,0.343314,81.43,2094.203125,0.609375,32.81
-40,8,-51,-41.4,0.327942,81.32,2094.84375,0.640625,32.81
-38,11,-49,-22.92,0.316413,81.08,2095.46875,0.625,32.81
-43,13,-48,-3.95,0.313851,81,2116.859375,0.59375,32.81
-43,9,-48,12.53,0.318975,81.08,2117.4375,0.578125,32.81
-42,9,-48,24.37,0.312569,81.2,2118.0625,0.625,32.81
-45,13,-47,31.19,0.30104,81.32,2118.703125,0.640625,32.81
-44,11,-45,34.14,0.298478,81.45,2125.453125,0.609375,32.81
-44,8,-44,35.15,0.312569,81.58,2171.96875,0.65625,32.81
-41,13,-42,35.76,0.306164,81.77,2172.65625,0.6875,32.81
-52,9,-45,36.33,0.318975,82,2187.640625,0.515625,32.81
-51,16,-42,36.24,0.304883,82.37,2188.125,0.484375,32.81
-54,0,-35,34.58,0.289511,82.75,2188.65625,0.53125,32.81
-54,10,-36,30.9,0.290792,83.17,2193.203125,0.640625,32.81
-55,11,-40,25.41,0.283106,83.52,2236.34375,0.625,32.81
-56,9,-37,18.71,0.284387,83.87,2236.953125,0.609375,32.81
-44,9,-36,11.3,0.284387,84.25,2237.546875,0.59375,32.81
-50,13,-36,3.55,0.290792,84.62,2243,0.53125,32.81
-51,11,-39,-4.16,0.292073,84.93,2243.515625,0.515625,32.81
-58,13,-44,-11.45,0.293354,85.23,2244,0.484375,32.81
-29,14,-29,-17.51,0.294635,85.62,2244.546875,0.546875,32.79
-47,9,-37,-21.26,0.310007,85.9,2245.078125,0.53125,32.79
-46,10,-37,-21.7,0.306164,86.27,2245.59375,0.515625,32.79
-46,10,-29,-18.62,0.306164,86.62,2246.171875,0.578125,32.79
-61,8,-34,-13.37,0.308726,86.92,2348.734375,0.640625,32.81
-48,4,-40,-8.55,0.316413,87.2,2349.375,0.640625,32.81
-63,13,-38,-6.93,0.32538,87.48,2353.328125,0.65625,32.81
-50,12,-39,-10.03,0.324099,87.52,2353.96875,0.640625,32.81
-48,12,-36,-17.99,0.321537,87.23,2354.640625,0.671875,32.83
